divisions,category,series_id,trump_vote_change,cumulative_inflation
East North Central,apparel,CUUR0230SAA,1.8839330357942572,13.488
East North Central,education and communication,CUUR0230SAE,1.8839330357942572,1.8689999999999998
East North Central,food,CUUR0230SAF11,1.8839330357942572,25.403999999999982
East North Central,medical care,CUUR0230SAM,1.8839330357942572,6.147000000000006
East North Central,motor fuel,CUUR0230SETB,1.8839330357942572,34.068
East North Central,recreation,CUUR0230SAR,1.8839330357942572,13.486000000000004
East North Central,rent,CUUR0230SEHA,1.8839330357942572,26.373000000000005
East North Central,transportation,CUUR0230SAT,1.8839330357942572,31.48599999999999
East South Central,apparel,CUUR0360SAA,2.9817354180556634,19.820999999999998
East South Central,education and communication,CUUR0360SAE,2.9817354180556634,9.094000000000008
East South Central,food,CUUR0360SAF11,2.9817354180556634,25.48100000000001
East South Central,medical care,CUUR0360SAM,2.9817354180556634,9.951999999999998
East South Central,motor fuel,CUUR0360SETB,2.9817354180556634,29.641000000000005
East South Central,recreation,CUUR0360SAR,2.9817354180556634,8.796000000000006
East South Central,rent,CUUR0360SEHA,2.9817354180556634,31.510999999999996
East South Central,transportation,CUUR0360SAT,2.9817354180556634,30.174999999999997
Middle Atlantic,apparel,CUUR0120SAA,1.3698976561948086,7.573999999999998
Middle Atlantic,education and communication,CUUR0120SAE,1.3698976561948086,7.427000000000007
Middle Atlantic,food,CUUR0120SAF11,1.3698976561948086,22.067999999999998
Middle Atlantic,medical care,CUUR0120SAM,1.3698976561948086,2.852000000000004
Middle Atlantic,motor fuel,CUUR0120SETB,1.3698976561948086,27.723
Middle Atlantic,recreation,CUUR0120SAR,1.3698976561948086,14.503
Middle Atlantic,rent,CUUR0120SEHA,1.3698976561948086,19.825999999999993
Middle Atlantic,transportation,CUUR0120SAT,1.3698976561948086,33.83500000000001
Mountain,apparel,CUUR0480SAA,2.1308812534511006,14.486000000000004
Mountain,education and communication,CUUR0480SAE,2.1308812534511006,-0.257000000000005
Mountain,food,CUUR0480SAF11,2.1308812534511006,24.253
Mountain,medical care,CUUR0480SAM,2.1308812534511006,10.653000000000006
Mountain,motor fuel,CUUR0480SETB,2.1308812534511006,43.234999999999985
Mountain,recreation,CUUR0480SAR,2.1308812534511006,15.14
Mountain,rent,CUUR0480SEHA,2.1308812534511006,33.284000000000006
Mountain,transportation,CUUR0480SAT,2.1308812534511006,32.019999999999996
New England,apparel,CUUR0110SAA,3.3862417571600005,13.760000000000005
New England,education and communication,CUUR0110SAE,3.3862417571600005,4.519999999999996
New England,food,CUUR0110SAF11,3.3862417571600005,14.349000000000004
New England,medical care,CUUR0110SAM,3.3862417571600005,10.61800000000001
New England,motor fuel,CUUR0110SETB,3.3862417571600005,30.458
New England,recreation,CUUR0110SAR,3.3862417571600005,5.469999999999999
New England,rent,CUUR0110SEHA,3.3862417571600005,24.546000000000006
New England,transportation,CUUR0110SAT,3.3862417571600005,27.108000000000004
Pacific,apparel,CUUR0490SAA,2.8009708230728947,13.216999999999999
Pacific,education and communication,CUUR0490SAE,2.8009708230728947,3.489999999999995
Pacific,food,CUUR0490SAF11,2.8009708230728947,24.269000000000005
Pacific,medical care,CUUR0490SAM,2.8009708230728947,17.16900000000001
Pacific,motor fuel,CUUR0490SETB,2.8009708230728947,41.61
Pacific,recreation,CUUR0490SAR,2.8009708230728947,16.189999999999998
Pacific,rent,CUUR0490SEHA,2.8009708230728947,21.272000000000006
Pacific,transportation,CUUR0490SAT,2.8009708230728947,31.889999999999986
South Atlantic,apparel,CUUR0350SAA,4.111939890218125,12.492999999999995
South Atlantic,education and communication,CUUR0350SAE,4.111939890218125,4.963999999999999
South Atlantic,food,CUUR0350SAF11,4.111939890218125,23.126999999999995
South Atlantic,medical care,CUUR0350SAM,4.111939890218125,8.291999999999987
South Atlantic,motor fuel,CUUR0350SETB,4.111939890218125,32.420000000000016
South Atlantic,recreation,CUUR0350SAR,4.111939890218125,13.495000000000005
South Atlantic,rent,CUUR0350SEHA,4.111939890218125,33.94799999999999
South Atlantic,transportation,CUUR0350SAT,4.111939890218125,30.072999999999993
West North Central,apparel,CUUR0240SAA,1.3792522735464843,10.302999999999997
West North Central,education and communication,CUUR0240SAE,1.3792522735464843,0.3229999999999933
West North Central,food,CUUR0240SAF11,1.3792522735464843,24.915000000000006
West North Central,medical care,CUUR0240SAM,1.3792522735464843,11.198000000000008
West North Central,motor fuel,CUUR0240SETB,1.3792522735464843,30.968000000000004
West North Central,recreation,CUUR0240SAR,1.3792522735464843,13.363
West North Central,rent,CUUR0240SEHA,1.3792522735464843,25.17800000000001
West North Central,transportation,CUUR0240SAT,1.3792522735464843,32.343
West South Central,apparel,CUUR0370SAA,3.186233147532242,15.771
West South Central,education and communication,CUUR0370SAE,3.186233147532242,-1.328000000000003
West South Central,food,CUUR0370SAF11,3.186233147532242,25.527
West South Central,medical care,CUUR0370SAM,3.186233147532242,11.564999999999998
West South Central,motor fuel,CUUR0370SETB,3.186233147532242,31.709999999999994
West South Central,recreation,CUUR0370SAR,3.186233147532242,12.238
West South Central,rent,CUUR0370SEHA,3.186233147532242,25.302999999999997
West South Central,transportation,CUUR0370SAT,3.186233147532242,33.798
